title,imdb_rating,Processed Title,Success_x,n_unique_words_char_1,n_unique_words_char_2,n_unique_words_char_3,n_unique_words_char_4,n_unique_words_char_5,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,tot_sents,tot_pass_sents,passive_ratio_x,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_coref_sents,pct_coref_sents_x,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,fillers_per_sent_char_1,fillers_per_sent_char_2,fillers_per_sent_char_3,fillers_per_sent_char_4,fillers_per_sent_char_5,feels_per_sent_char_1,feels_per_sent_char_2,feels_per_sent_char_3,feels_per_sent_char_4,feels_per_sent_char_5,hw_per_sent_char_1,hw_per_sent_char_2,hw_per_sent_char_3,hw_per_sent_char_4,hw_per_sent_char_5,tot_feel_sents,tot_fill_sents,tot_hw_sents,feel_ratio,fill_ratio,hw_ratio,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean,passive_ratio_y,pct_coref_sents_y,tot_unique_per_sent,tot_stop_per_sent,std_of_overall_polarity,wav_polarity,avg_FK,sign_check_char_mention_polairty,std_of_char_mention_polarity,avg_sim_score,Success_y
The Wolf of Wall Street,8.2,"Wolf-of-Wall-Street,-The",1,1704,398,294,196,204,4,2,2,3,3,177,102,98,73,64,0.9999,-0.996,-0.997,0.9659,0.9387,1123,38,0.033837934105075684,30,1,2,3,2,808,125,107,39,44,"{'neg': 0.102, 'neu': 0.756, 'pos': 0.142, 'compound': 1.0}","{'neg': 0.131, 'neu': 0.797, 'pos': 0.073, 'compound': -0.996}","{'neg': 0.189, 'neu': 0.696, 'pos': 0.115, 'compound': -0.9992}","{'neg': 0.043, 'neu': 0.861, 'pos': 0.096, 'compound': 0.9659}","{'neg': 0.088, 'neu': 0.783, 'pos': 0.128, 'compound': 0.9387}",0.102,0.131,0.189,0.043,0.08800000000000001,0.142,0.073,0.115,0.096,0.128,1.0,-0.996,-0.9992,0.9659,0.9387,39,0.034728406055209264,29,1,5,2,2,44,14,1,2,0,28,2,5,2,0,253,26,28,12,9,37,61,328,0.03294746215494212,0.05431878895814782,0.2920747996438112,78.74661794160019,0.8970377022700253,2.8,-0.3133977720241449,3.0514654703687727,-0.6611885753405106,0.033837934105075684,0.034728406055209264,2.489759572573464,0.4577025823686554,0.9626815735226264,0.5838941228851293,2.8,0,0.9632378177791816,0.17693208186454729,1
127 Hours,7.6,127-Hours,1,747,121,106,100,93,3,2,1,3,5,135,45,45,46,38,0.9969,0.9414,0.9624,0.8098,-0.5093,371,14,0.03773584905660377,11,0,0,2,1,293,26,24,16,12,"{'neg': 0.13, 'neu': 0.717, 'pos': 0.152, 'compound': 0.9969}","{'neg': 0.054, 'neu': 0.816, 'pos': 0.13, 'compound': 0.9808}","{'neg': 0.013, 'neu': 0.825, 'pos': 0.162, 'compound': 0.9624}","{'neg': 0.073, 'neu': 0.797, 'pos': 0.13, 'compound': 0.8098}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.13,0.054000000000000006,0.013,0.073,0.0,0.152,0.13,0.162,0.13,0.0,0.9969,0.9808,0.9624,0.8098,0.0,7,0.018867924528301886,1,3,2,1,0,41,2,4,1,0,12,1,0,0,0,115,6,2,2,7,13,48,132,0.03504043126684636,0.1293800539083558,0.3557951482479784,80.61059190031153,-1.7489506466000224,2.8,-3.0701984522720247,-0.2789483050990316,-1.074527295525027,0.03773584905660377,0.018867924528301886,3.1455525606469004,0.8328840970350404,0.5782531577086285,0.9339916442048516,2.8,0,0.3808984242550762,0.38161012235854497,1
Changeling,7.7,Changeling,1,681,520,343,312,311,3,5,3,3,5,150,128,107,87,103,0.9991,-0.9948,-0.9965,0.9874,0.8883,822,58,0.0705596107055961,13,22,6,5,12,403,160,113,88,58,"{'neg': 0.099, 'neu': 0.766, 'pos': 0.134, 'compound': 0.9998}","{'neg': 0.127, 'neu': 0.772, 'pos': 0.101, 'compound': -0.9948}","{'neg': 0.1, 'neu': 0.86, 'pos': 0.041, 'compound': -0.9965}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.086, 'neu': 0.818, 'pos': 0.096, 'compound': 0.9575}",0.099,0.127,0.1,0.0,0.086,0.134,0.101,0.041,0.0,0.096,0.9998,-0.9948,-0.9965,0.0,0.9575,7,0.00851581508515815,3,1,1,0,2,131,27,16,27,8,22,2,6,1,2,151,56,27,36,25,33,209,295,0.040145985401459854,0.2542579075425791,0.3588807785888078,46.13636363636363,-0.12464840665524173,3.8,0.5069185279520535,-0.6414423214764797,-0.5896491814624212,0.0705596107055961,0.00851581508515815,2.6362530413625302,0.6995133819951338,0.9579938726317616,0.3275880778588807,3.8,0,0.8830418313987171,0.20613530771921,1
The Kingdom,7.0,"Kingdom,-The",1,776,279,333,345,251,3,2,3,3,4,147,91,88,90,84,0.9921,0.9554,0.9951,-0.9871,-0.8807,622,29,0.04662379421221865,20,3,1,2,3,308,104,75,89,46,"{'neg': 0.109, 'neu': 0.759, 'pos': 0.132, 'compound': 0.9921}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.07, 'neu': 0.788, 'pos': 0.143, 'compound': 0.9951}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.121, 'neu': 0.77, 'pos': 0.109, 'compound': -0.8807}",0.109,0.0,0.07,0.0,0.121,0.132,0.0,0.14300000000000002,0.0,0.109,0.9921,0.0,0.9951,0.0,-0.8807,9,0.014469453376205787,3,0,3,0,3,48,16,15,12,2,10,2,3,1,2,89,34,36,29,14,18,93,202,0.028938906752411574,0.1495176848874598,0.3247588424437299,51.60342163771338,-0.4218957165651366,3.0,-0.5016670867727806,-0.5961305694292987,-0.9870902585629177,0.04662379421221865,0.014469453376205787,3.189710610932476,0.8038585209003215,0.9387476201834016,0.5646250803858521,3.0,0,0.707848918908548,0.17117067019839635,1
Bridesmaids,6.8,Bridesmaids,1,1341,580,731,463,339,2,2,3,2,3,172,120,134,113,91,1.0,0.9997,0.9999,0.9939,0.9851,2118,53,0.02502360717658168,25,4,14,6,4,1149,318,332,200,119,"{'neg': 0.098, 'neu': 0.704, 'pos': 0.197, 'compound': 1.0}","{'neg': 0.074, 'neu': 0.748, 'pos': 0.178, 'compound': 0.9999}","{'neg': 0.031, 'neu': 0.789, 'pos': 0.18, 'compound': 1.0}","{'neg': 0.089, 'neu': 0.781, 'pos': 0.13, 'compound': 0.9992}","{'neg': 0.059, 'neu': 0.843, 'pos': 0.097, 'compound': 0.9983}",0.098,0.07400000000000001,0.031,0.08900000000000001,0.059,0.197,0.17800000000000002,0.18,0.13,0.097,1.0,0.9999,1.0,0.9992,0.9983,237,0.11189801699716714,71,53,70,14,29,53,5,13,8,4,41,5,14,5,3,266,60,91,63,29,68,83,509,0.03210576015108593,0.03918791312559018,0.24032105760151085,51.44594634390553,1.9658285761536909,2.4,1.2465479787502651,-0.029733668839536088,7.041219498867112,0.02502360717658168,0.11189801699716714,1.6307837582625118,0.29745042492917845,0.0057918563518098536,0.9985261095372991,2.4,1,0.0006615134163416649,0.29246677091684803,1
The Sessions,7.2,"Sessions,-The",1,843,593,351,185,154,3,3,3,2,4,165,140,98,70,60,0.9999,0.9998,0.9963,0.9155,0.9529,993,32,0.032225579053373615,18,4,6,1,3,482,288,113,69,41,"{'neg': 0.102, 'neu': 0.706, 'pos': 0.192, 'compound': 1.0}","{'neg': 0.077, 'neu': 0.733, 'pos': 0.19, 'compound': 1.0}","{'neg': 0.043, 'neu': 0.811, 'pos': 0.146, 'compound': 0.9991}","{'neg': 0.084, 'neu': 0.787, 'pos': 0.129, 'compound': 0.9155}","{'neg': 0.069, 'neu': 0.81, 'pos': 0.121, 'compound': 0.9529}",0.102,0.077,0.043,0.084,0.069,0.192,0.19,0.146,0.129,0.121,1.0,1.0,0.9991,0.9155,0.9529,40,0.04028197381671702,6,23,7,2,2,8,11,4,0,0,38,21,6,4,5,191,111,45,19,12,74,23,378,0.07452165156092648,0.023162134944612285,0.3806646525679758,48.60206817311375,-0.1912447984929777,3.0,-0.05788941629385357,-0.1883248010046696,-0.7327279692186,0.032225579053373615,0.04028197381671702,2.1409869083585096,0.5367573011077543,0.03374886072151178,0.9916560926485396,3.0,1,0.034200058479482175,0.2751385897338426,1
Forrest Gump,8.8,Forrest-Gump,1,870,292,211,94,118,3,1,3,4,13,151,94,65,36,35,1.0,0.9939,0.9652,0.8916,-0.8271,896,27,0.03013392857142857,18,4,2,1,2,616,195,59,19,7,"{'neg': 0.059, 'neu': 0.786, 'pos': 0.155, 'compound': 1.0}","{'neg': 0.058, 'neu': 0.813, 'pos': 0.129, 'compound': 0.9939}","{'neg': 0.024, 'neu': 0.904, 'pos': 0.072, 'compound': 0.9652}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.059,0.058,0.024,0.0,0.0,0.155,0.129,0.07200000000000001,0.0,0.0,1.0,0.9939,0.9652,0.0,0.0,142,0.15848214285714285,78,51,13,0,0,100,9,10,1,6,32,2,3,0,0,294,34,18,5,4,37,126,355,0.041294642857142856,0.140625,0.3962053571428572,75.33805366269166,-1.0699923103031042,4.8,-2.101956262136184,-0.4601953132877557,0.06215418498239316,0.03013392857142857,0.15848214285714285,1.7689732142857142,0.4252232142857143,0.7169465570040768,0.9798080357142857,4.8,0,0.4833619116148892,0.13621988151097553,1
Bound,7.4,Bound,1,540,467,459,212,123,1,1,1,2,1,135,120,132,75,57,0.9996,-0.9998,0.9962,-0.6984,-0.9853,1291,23,0.017815646785437646,5,7,10,1,0,430,453,284,76,48,"{'neg': 0.094, 'neu': 0.744, 'pos': 0.162, 'compound': 1.0}","{'neg': 0.192, 'neu': 0.711, 'pos': 0.098, 'compound': -1.0}","{'neg': 0.105, 'neu': 0.75, 'pos': 0.145, 'compound': 0.9998}","{'neg': 0.126, 'neu': 0.738, 'pos': 0.136, 'compound': -0.9248}","{'neg': 0.158, 'neu': 0.807, 'pos': 0.035, 'compound': -0.9959}",0.094,0.192,0.105,0.126,0.158,0.162,0.098,0.145,0.136,0.035,1.0,-1.0,0.9998,-0.9248,-0.9959,188,0.14562354763749033,76,58,27,17,10,28,24,16,0,3,22,21,10,3,3,126,68,97,24,4,59,71,319,0.04570100697134005,0.054996127033307515,0.2470952749806352,34.357368393809196,-0.7191430264750315,1.2,-0.24615873104248925,2.3264774376138764,0.7934457668473068,0.017815646785437646,0.14562354763749033,1.3950426026336171,0.40201394268009294,0.9332959907767739,0.1235217660728118,1.2,0,0.9671670515479732,0.4056582153271597,1
Philadelphia,7.7,Philadelphia,1,800,880,385,254,254,3,4,4,4,4,153,155,104,80,86,0.9999,0.9994,0.9962,0.9223,0.9815,1098,72,0.06557377049180327,30,26,7,4,5,447,415,105,73,58,"{'neg': 0.106, 'neu': 0.69, 'pos': 0.204, 'compound': 1.0}","{'neg': 0.093, 'neu': 0.763, 'pos': 0.143, 'compound': 0.9999}","{'neg': 0.086, 'neu': 0.763, 'pos': 0.151, 'compound': 0.9962}","{'neg': 0.089, 'neu': 0.814, 'pos': 0.096, 'compound': 0.9731}","{'neg': 0.084, 'neu': 0.771, 'pos': 0.144, 'compound': 0.9947}",0.106,0.093,0.086,0.08900000000000001,0.084,0.204,0.14300000000000002,0.151,0.096,0.14400000000000002,1.0,0.9999,0.9962,0.9731,0.9947,52,0.04735883424408015,7,26,5,8,6,69,77,21,4,8,17,19,4,1,0,105,108,39,16,10,41,179,278,0.037340619307832425,0.16302367941712206,0.25318761384335153,34.41213365263998,0.5348183027623392,3.8,0.5472619525410469,-0.21098067702826007,-0.4068262859961928,0.06557377049180327,0.04735883424408015,2.343351548269581,0.5264116575591985,0.029550810479579057,0.9932260473588344,3.8,1,0.010054929139481805,0.20615388193091366,1
Fair Game,6.8,Fair-Game,0,920,591,410,238,226,3,3,2,3,10,151,127,109,83,53,0.9981,0.983,-0.4089,0.9805,0.9939,910,49,0.05384615384615385,30,11,4,3,1,466,202,162,58,22,"{'neg': 0.087, 'neu': 0.796, 'pos': 0.117, 'compound': 0.9995}","{'neg': 0.1, 'neu': 0.779, 'pos': 0.121, 'compound': 0.9977}","{'neg': 0.105, 'neu': 0.786, 'pos': 0.109, 'compound': -0.5429}","{'neg': 0.062, 'neu': 0.815, 'pos': 0.123, 'compound': 0.9805}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.087,0.1,0.105,0.062,0.0,0.117,0.121,0.109,0.123,0.0,0.9995,0.9977,-0.5429,0.9805,0.0,31,0.03406593406593406,14,8,6,3,0,3,4,2,0,1,11,3,2,0,1,73,51,27,29,20,17,10,200,0.01868131868131868,0.01098901098901099,0.21978021978021975,46.6256739565033,0.2278251794127757,4.2,-0.1923674982571648,-0.3695718091933937,-0.4863145014162921,0.05384615384615385,0.03406593406593406,2.6208791208791213,0.5747252747252747,0.5591484539905301,0.7430479120879122,4.2,0,0.6426314639044683,0.1795476802189332,0
