,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
Avatar,Avatar,1,39.53723230463065,-0.09053805961640132,2.4,0.06314085747312652,0.10620158730200693,-0.5419562522103616
The Dark Knight Rises,"Dark-Knight-Rises,-The",1,23.705824512695926,0.2554383174918369,2.2,0.789322500075007,-0.6867540735236607,-0.17631046127790476
The Avengers,"Avengers,-The",1,30.146046667785807,-0.1181511976954626,3.0,-0.004098183508529088,-0.7094099495472512,-0.4386215721642325
Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,1,36.74362089914945,-0.4819948994430934,1.8,-0.05788941629385357,-0.7320658255708418,-0.8678579354327688
Men in Black 3,Men-in-Black-3,1,57.32816313676089,0.7427289894752711,2.8,0.5338141443447157,-0.43753943726416517,1.349863274788002
King Kong,King-Kong,1,48.47224817791067,-1.0391305677441531,1.4,-1.2816399621599857,-0.7094099495472512,0.29267000970068113
Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,1,29.971017956915354,-0.07267073497700874,2.4,0.6010531853263713,-0.21098067702826012,-0.31144042749207357
Cars 2,Cars-2,1,41.850962202159096,-0.24159816793126596,1.8,0.3589926377924112,-0.6640981975000702,0.4119023328308301
2012,2012,1,26.84753496676917,-1.0911082394223859,2.4,-0.7302798261104096,-0.5508188173821177,-0.5578538952943815
Terminator Salvation,Terminator-Salvation,1,37.71133460179397,-1.1755719558995148,3.2,-1.1740574965893367,-0.46019531328775565,-0.8360626492647291
The Mummy,"Mummy,-The",1,30.33196079145866,-0.5404697800811056,2.6,-0.08478503268651581,-0.5961305694292987,-0.8599091138907589
The Great Gatsby,"Great-Gatsby,-The",1,36.7020954762721,0.6939999222769277,2.8,1.219652362357603,-0.7094099495472512,0.8490875176413764
Thor: Ragnarok,Thor-Ragnarok,1,53.59095193213949,-0.5209781532017682,1.8,0.13037989845478212,-0.3469159331698031,-0.3670821782861431
Up,Up,1,34.303235356312115,-1.1382130043807848,1.0,-0.9051013326627142,-0.6867540735236607,-0.7327279692186
Coco,Coco,1,42.45455693006817,-0.8685788325499513,1.8,-0.01754599170486021,-0.6414423214764797,0.14164240040249246
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,1,27.445855115758032,2.2435842591842485,3.6,1.9189383885668212,-0.4828511893113462,1.1590915577797636
Wild Wild West,Wild-Wild-West,1,33.36243717110697,0.8239441014725102,3.4,0.6279488017190336,-0.46019531328775565,-0.33528689211810336
Snow White and the Huntsman,Snow-White-and-the-Huntsman,1,34.231795354676706,1.1634232696209694,2.2,1.6903256492291923,-0.7094099495472512,0.45164644054087977
How to Train Your Dragon,How-to-Train-Your-Dragon,1,49.759117247205104,2.579814822852818,3.0,1.3810260607135765,-0.6640981975000702,1.9062807827286972
Interstellar,Interstellar,1,35.142850346123645,0.2002120413337144,2.4,0.6413966099153647,-0.6867540735236607,-0.45451921524825234
Beauty and the Beast,Beauty-and-the-Beast,1,25.355074188685236,-0.6021932651990072,2.2,0.3186492132034178,-0.7094099495472512,-0.1604128181938849
Shrek the Third,Shrek-the-Third,1,33.945848646216156,-0.6541709368772402,1.8,-0.4882192785764494,-0.7094099495472512,-0.2875939628660438
Inception,Inception,1,54.06148462884279,0.4097470302865911,2.6,1.327234827928252,-0.6867540735236607,0.5072881913349493
Godzilla,Godzilla,1,37.78804060229953,-1.0521249856637114,2.8,-0.7437276343067407,-0.5281629413585271,-0.844011470806739
The Curious Case of Benjamin Button,"Curious-Case-of-Benjamin-Button,-The",1,22.54568429237947,0.06539495541829762,3.4,0.5069185279520535,-0.6414423214764797,-0.6373421107144808
War for the Planet of the Apes,War-for-the-Planet-of-the-Apes,1,27.38130607879256,-1.7863095981187522,0.8,-1.779208865424237,-0.7094099495472512,-0.9393973293108582
Frozen,Frozen,1,45.20430268170613,-0.9676612691865828,0.8,-1.3623268113379723,0.69525436391536,-0.7088815045925702
Zootopia,Zootopia,1,42.47933406555292,-0.16525596265386122,2.4,-0.326845580220476,-0.6187864454528892,-0.5499050737523715
The Matrix Reloaded,"Matrix-Reloaded,-The",1,32.37962316817865,-1.9617342400327888,1.2,-2.007821604761866,-0.25629242907544114,-0.8201650061807092
Hancock,Hancock,1,25.232084418620186,0.9522639784281478,1.8,0.8565615410566627,-0.052389544863126594,1.0716545208176544
