,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
Avatar,Avatar,1,2,2,2,3,3,139,124,84,101,94,16,9,1,5,6,35,26,10,2,1,39.53723230463065,-0.09053805961640132
The Dark Knight Rises,"Dark-Knight-Rises,-The",1,2,2,3,2,2,130,117,121,107,121,0,2,0,0,0,34,36,5,26,19,23.705824512695926,0.25543831749183693
The Avengers,"Avengers,-The",1,2,3,3,4,3,141,135,97,96,68,0,0,1,0,0,36,20,18,11,2,30.146046667785807,-0.11815119769546259
Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,1,2,1,1,1,4,132,114,98,103,86,0,0,0,0,0,20,8,2,1,2,36.74362089914945,-0.4819948994430934
Men in Black 3,Men-in-Black-3,1,2,3,2,3,4,196,158,77,79,67,7,4,0,0,2,180,88,17,16,11,57.32816313676089,0.7427289894752711
King Kong,King-Kong,1,2,1,0,2,2,126,81,77,76,82,1,0,0,0,0,91,34,18,15,21,48.47224817791067,-1.0391305677441531
Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,1,2,2,2,4,2,136,116,111,118,101,8,6,0,3,6,33,32,21,7,10,29.971017956915354,-0.07267073497700874
Cars 2,Cars-2,1,2,1,2,2,2,138,121,117,104,84,2,0,1,0,0,42,76,43,27,6,41.850962202159096,-0.24159816793126593
2012,2012,1,1,3,1,3,4,109,124,89,90,71,4,1,0,3,0,28,12,22,2,8,26.84753496676917,-1.091108239422386
Terminator Salvation,Terminator-Salvation,1,1,2,5,3,5,125,104,82,77,62,6,6,0,0,0,5,16,12,2,2,37.71133460179397,-1.1755719558995148
The Mummy,"Mummy,-The",1,1,3,2,3,4,120,126,104,94,87,3,2,1,0,0,14,9,1,8,2,30.33196079145866,-0.5404697800811056
The Great Gatsby,"Great-Gatsby,-The",1,4,3,3,2,2,159,142,126,117,84,0,0,0,1,0,101,40,55,29,24,36.7020954762721,0.6939999222769277
Thor: Ragnarok,Thor-Ragnarok,1,1,2,2,2,2,154,97,93,98,105,13,0,1,1,2,68,12,7,8,1,53.59095193213949,-0.5209781532017682
Up,Up,1,0,1,2,1,1,120,116,100,70,64,2,0,0,0,0,36,6,3,4,1,34.303235356312115,-1.1382130043807848
Coco,Coco,1,2,2,1,2,2,141,143,89,82,81,3,1,0,0,0,64,18,19,30,29,42.45455693006817,-0.8685788325499513
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,1,3,2,4,5,4,142,135,131,137,135,3,4,0,0,4,80,73,66,26,43,27.445855115758032,2.2435842591842485
Wild Wild West,Wild-Wild-West,1,2,4,5,2,4,142,143,130,81,88,9,3,0,0,0,35,26,20,4,15,33.36243717110697,0.8239441014725102
Snow White and the Huntsman,Snow-White-and-the-Huntsman,1,2,2,3,2,2,161,152,139,114,97,1,0,0,0,0,49,68,35,28,19,34.231795354676706,1.1634232696209694
How to Train Your Dragon,How-to-Train-Your-Dragon,1,3,3,3,3,3,172,141,129,120,78,2,0,1,0,0,100,99,96,64,23,49.759117247205104,2.579814822852818
Interstellar,Interstellar,1,1,2,2,4,3,149,145,85,99,107,2,0,0,0,0,32,32,8,12,1,35.142850346123645,0.20021204133371442
Beauty and the Beast,Beauty-and-the-Beast,1,2,2,2,3,2,126,108,100,125,102,0,0,1,0,0,25,22,14,36,25,25.355074188685236,-0.6021932651990072
Shrek the Third,Shrek-the-Third,1,1,2,2,1,3,121,91,107,100,82,0,0,0,1,0,32,29,17,18,10,33.945848646216156,-0.6541709368772402
Inception,Inception,1,3,1,3,3,3,173,121,130,109,103,1,0,1,0,0,82,41,32,37,14,54.06148462884279,0.4097470302865911
Godzilla,Godzilla,1,3,1,2,3,5,126,111,87,87,71,1,7,0,0,1,8,16,4,2,6,37.78804060229953,-1.0521249856637114
