,Processed Title,Success,n_unique_words_char_1,n_unique_words_char_2,n_unique_words_char_3,n_unique_words_char_4,n_unique_words_char_5,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,tot_sents,tot_pass_sents,passive_ratio
Avatar,Avatar,1,670,565,252,425,276,2,2,2,3,3,139,124,84,101,94,0.9919,0.9946,0.9861,0.7676,-0.9982,988,31,0.03137651821862348
The Dark Knight Rises,"Dark-Knight-Rises,-The",1,531,514,506,418,434,2,2,3,2,2,130,117,121,107,121,0.9871,-0.9975,0.8331,-0.9751,-0.9954,968,42,0.04338842975206612
The Avengers,"Avengers,-The",1,560,623,359,425,205,2,3,3,4,3,141,134,97,96,68,0.9704,0.979,0.9189,-0.9782,0.9739,915,28,0.030601092896174863
Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,1,629,373,285,378,281,2,1,1,1,4,132,114,98,103,86,0.998,-0.9658,0.9959,0.9297,0.9926,877,33,0.037628278221208664
Men in Black 3,Men-in-Black-3,1,1206,867,234,209,185,2,3,2,3,4,196,158,77,79,67,0.9979,0.9839,0.9903,-0.9787,0.9617,1243,37,0.029766693483507644
King Kong,King-Kong,1,637,260,231,245,231,2,1,0,2,2,126,81,77,76,82,0.9992,0.9985,0.6024,-0.9877,-0.9934,663,26,0.0392156862745098
Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,1,589,463,348,480,318,2,2,2,4,2,136,116,111,118,101,-0.9919,0.5669,-0.9958,0.9996,-0.9301,931,26,0.027926960257787327
Cars 2,Cars-2,1,688,389,410,376,232,2,1,2,2,2,138,121,117,104,84,0.9999,0.9991,0.9977,0.9971,0.9978,1299,34,0.02617397998460354
2012,2012,1,366,486,217,297,206,1,3,1,3,4,109,124,89,90,71,0.9981,0.9795,0.5819,-0.8251,0.976,563,20,0.035523978685612786
Terminator Salvation,Terminator-Salvation,1,447,357,281,224,211,1,2,5,3,5,125,104,82,77,62,-0.9965,-0.9963,0.9841,0.8293,0.9888,502,32,0.06374501992031872
The Mummy,"Mummy,-The",1,504,538,364,273,232,1,3,2,3,4,120,126,104,94,87,-0.8884,-0.9957,0.994,0.9858,-0.9909,779,37,0.04749679075738126
