,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
Avatar,Avatar,1,0.9919,0.9946,0.9861,0.7676,-0.9982,13,8,5,2,3,428,227,127,132,74,"{'neg': 0.13, 'neu': 0.727, 'pos': 0.144, 'compound': 0.9994}","{'neg': 0.105, 'neu': 0.754, 'pos': 0.14, 'compound': 0.9996}","{'neg': 0.094, 'neu': 0.766, 'pos': 0.14, 'compound': 0.9961}","{'neg': 0.11, 'neu': 0.767, 'pos': 0.124, 'compound': 0.7676}","{'neg': 0.195, 'neu': 0.712, 'pos': 0.093, 'compound': -0.9982}",1712,908,254,132,74,0.13,0.105,0.094,0.11,0.195,0.144,0.14,0.14,0.124,0.093,0.9994,0.9996,0.9961,0.7676,-0.9982,31,988,0.03137651821862348
The Dark Knight Rises,"Dark-Knight-Rises,-The",1,0.9871,-0.9975,0.8331,-0.9751,-0.9954,13,6,10,8,5,265,226,169,149,159,"{'neg': 0.121, 'neu': 0.742, 'pos': 0.137, 'compound': 0.9983}","{'neg': 0.124, 'neu': 0.792, 'pos': 0.085, 'compound': -0.9997}","{'neg': 0.139, 'neu': 0.722, 'pos': 0.139, 'compound': 0.9404}","{'neg': 0.118, 'neu': 0.776, 'pos': 0.106, 'compound': -0.9966}","{'neg': 0.135, 'neu': 0.774, 'pos': 0.091, 'compound': -0.9987}",795,678,338,447,318,0.121,0.124,0.139,0.118,0.135,0.137,0.085,0.139,0.106,0.091,0.9983,-0.9997,0.9404,-0.9966,-0.9987,42,968,0.04338842975206612
The Avengers,"Avengers,-The",1,0.9704,0.979,0.9189,-0.9782,0.9739,11,7,3,4,3,286,319,122,133,55,"{'neg': 0.106, 'neu': 0.773, 'pos': 0.12, 'compound': 0.9976}","{'neg': 0.121, 'neu': 0.744, 'pos': 0.135, 'compound': 0.9969}","{'neg': 0.094, 'neu': 0.791, 'pos': 0.114, 'compound': 0.9716}","{'neg': 0.124, 'neu': 0.77, 'pos': 0.106, 'compound': -0.9782}","{'neg': 0.077, 'neu': 0.804, 'pos': 0.118, 'compound': 0.9929}",1144,957,244,133,110,0.106,0.121,0.094,0.124,0.077,0.12,0.135,0.114,0.106,0.118,0.9976,0.9969,0.9716,-0.9782,0.9929,28,915,0.030601092896174863
Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,1,0.998,-0.9658,0.9959,0.9297,0.9926,13,6,6,5,3,331,207,134,132,73,"{'neg': 0.116, 'neu': 0.724, 'pos': 0.16, 'compound': 0.998}","{'neg': 0.091, 'neu': 0.841, 'pos': 0.068, 'compound': -0.9658}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",331,207,0,0,0,0.116,0.091,0.0,0.0,0.0,0.16,0.068,0.0,0.0,0.0,0.998,-0.9658,0.0,0.0,0.0,33,877,0.037628278221208664
Men in Black 3,Men-in-Black-3,1,0.9979,0.9839,0.9903,-0.9787,0.9617,18,12,2,2,3,732,357,60,56,38,"{'neg': 0.118, 'neu': 0.743, 'pos': 0.139, 'compound': 0.9999}","{'neg': 0.103, 'neu': 0.782, 'pos': 0.115, 'compound': 0.9979}","{'neg': 0.103, 'neu': 0.718, 'pos': 0.179, 'compound': 0.9987}","{'neg': 0.104, 'neu': 0.849, 'pos': 0.046, 'compound': -0.9939}","{'neg': 0.053, 'neu': 0.839, 'pos': 0.108, 'compound': 0.9894}",2928,1071,180,112,76,0.118,0.103,0.103,0.104,0.053,0.139,0.115,0.179,0.046,0.108,0.9999,0.9979,0.9987,-0.9939,0.9894,37,1243,0.029766693483507644
King Kong,King-Kong,1,0.9992,0.9985,0.6024,-0.9877,-0.9934,13,2,4,2,5,285,119,107,81,71,"{'neg': 0.102, 'neu': 0.737, 'pos': 0.161, 'compound': 0.9999}","{'neg': 0.114, 'neu': 0.658, 'pos': 0.228, 'compound': 0.9996}","{'neg': 0.093, 'neu': 0.821, 'pos': 0.085, 'compound': 0.6024}","{'neg': 0.119, 'neu': 0.829, 'pos': 0.052, 'compound': -0.9984}","{'neg': 0.128, 'neu': 0.842, 'pos': 0.03, 'compound': -0.9982}",1140,238,107,243,142,0.102,0.114,0.093,0.119,0.128,0.161,0.228,0.085,0.052,0.03,0.9999,0.9996,0.6024,-0.9984,-0.9982,26,663,0.0392156862745098
Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,1,-0.9919,0.5669,-0.9958,0.9996,-0.9301,7,8,7,3,1,293,212,162,157,107,"{'neg': 0.152, 'neu': 0.704, 'pos': 0.144, 'compound': -0.9994}","{'neg': 0.126, 'neu': 0.737, 'pos': 0.136, 'compound': 0.6947}","{'neg': 0.122, 'neu': 0.806, 'pos': 0.072, 'compound': -0.9989}","{'neg': 0.074, 'neu': 0.736, 'pos': 0.19, 'compound': 0.9999}","{'neg': 0.123, 'neu': 0.758, 'pos': 0.119, 'compound': -0.9763}",1172,636,324,314,214,0.152,0.126,0.122,0.074,0.123,0.144,0.136,0.072,0.19,0.119,-0.9994,0.6947,-0.9989,0.9999,-0.9763,26,931,0.027926960257787327
Cars 2,Cars-2,1,0.9999,0.9991,0.9977,0.9971,0.9978,18,5,6,5,0,511,269,209,218,92,"{'neg': 0.072, 'neu': 0.738, 'pos': 0.19, 'compound': 1.0}","{'neg': 0.116, 'neu': 0.7, 'pos': 0.185, 'compound': 0.9998}","{'neg': 0.076, 'neu': 0.785, 'pos': 0.139, 'compound': 0.9994}","{'neg': 0.095, 'neu': 0.758, 'pos': 0.147, 'compound': 0.9992}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1022,538,418,436,0,0.072,0.116,0.076,0.095,0.0,0.19,0.185,0.139,0.147,0.0,1.0,0.9998,0.9994,0.9992,0.0,34,1299,0.02617397998460354
2012,2012,1,0.9981,0.9795,0.5819,-0.8251,0.976,9,6,2,2,1,199,162,78,76,48,"{'neg': 0.059, 'neu': 0.797, 'pos': 0.143, 'compound': 0.9981}","{'neg': 0.065, 'neu': 0.845, 'pos': 0.09, 'compound': 0.9941}","{'neg': 0.081, 'neu': 0.824, 'pos': 0.096, 'compound': 0.5819}","{'neg': 0.097, 'neu': 0.821, 'pos': 0.082, 'compound': -0.8251}","{'neg': 0.06, 'neu': 0.807, 'pos': 0.133, 'compound': 0.9935}",199,324,78,76,96,0.059,0.065,0.081,0.097,0.06,0.143,0.09,0.096,0.082,0.133,0.9981,0.9941,0.5819,-0.8251,0.9935,20,563,0.035523978685612786
Terminator Salvation,Terminator-Salvation,1,-0.9965,-0.9963,0.9841,0.8293,0.9888,9,5,7,6,5,237,106,72,51,36,"{'neg': 0.128, 'neu': 0.78, 'pos': 0.092, 'compound': -0.9965}","{'neg': 0.153, 'neu': 0.754, 'pos': 0.093, 'compound': -0.9963}","{'neg': 0.104, 'neu': 0.744, 'pos': 0.152, 'compound': 0.9841}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",237,106,72,0,0,0.128,0.153,0.104,0.0,0.0,0.092,0.093,0.152,0.0,0.0,-0.9965,-0.9963,0.9841,0.0,0.0,32,502,0.06374501992031872
