Unnamed: 0,Unnamed: 0,Processed Title,Success,n_unique_words_char_1,n_unique_words_char_2,n_unique_words_char_3,n_unique_words_char_4,n_unique_words_char_5,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,tot_sents,tot_pass_sents,passive_ratio,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_coref_sents,pct_coref_sents,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,unique_per_sent_char_1,unique_per_sent_char_2,unique_per_sent_char_3,unique_per_sent_char_4,unique_per_sent_char_5,tot_unique_per_sent,stop_per_sent_char_1,stop_per_sent_char_2,stop_per_sent_char_3,stop_per_sent_char_4,stop_per_sent_char_5,tot_stop_per_sent,std_of_overall_polarity,wav_polarity,avg_FK,pass_ratio_ch1,pass_ratio_ch2,pass_ratio_ch3,pass_ratio_ch4,pass_ratio_ch5,sign_check_char_mention_polairty,std_of_char_mention_polarity
Avatar,Avatar,Avatar,1,670,565,252,425,276,2,2,2,3,3,139,124,84,101,94,0.9919,0.9946,0.9861,0.7676,-0.9982,988,31,0.03137651821862348,13,8,5,2,3,428,227,127,132,74,"{'neg': 0.13, 'neu': 0.727, 'pos': 0.144, 'compound': 0.9994}","{'neg': 0.105, 'neu': 0.754, 'pos': 0.14, 'compound': 0.9996}","{'neg': 0.094, 'neu': 0.766, 'pos': 0.14, 'compound': 0.9961}","{'neg': 0.11, 'neu': 0.767, 'pos': 0.124, 'compound': 0.7676}","{'neg': 0.195, 'neu': 0.712, 'pos': 0.093, 'compound': -0.9982}",0.13,0.105,0.094,0.11,0.195,0.14400000000000002,0.14,0.14,0.124,0.09300000000000001,0.9994,0.9996,0.9961,0.7676,-0.9982,54,0.05465587044534413,24,20,8,1,1,1.5654205607476634,2.488986784140969,1.984251968503937,3.2196969696969697,9.054054054054054,2.214574898785425,0.3247663551401869,0.5462555066079295,0.6614173228346457,0.7651515151515151,1.8783783783783783,0.548582995951417,0.7781244347789112,0.8127515182186236,2.4,0.030373831775700934,0.03524229074889868,0.03937007874015748,0.015151515151515152,0.04054054054054054,0,0.7806838899324104
The Dark Knight Rises,The Dark Knight Rises,"Dark-Knight-Rises,-The",1,531,514,506,418,434,2,2,3,2,2,130,117,121,107,121,0.9871,-0.9975,0.8331,-0.9751,-0.9954,968,42,0.04338842975206612,13,6,10,8,5,265,226,169,149,159,"{'neg': 0.121, 'neu': 0.742, 'pos': 0.137, 'compound': 0.9983}","{'neg': 0.124, 'neu': 0.792, 'pos': 0.085, 'compound': -0.9997}","{'neg': 0.139, 'neu': 0.722, 'pos': 0.139, 'compound': 0.9404}","{'neg': 0.118, 'neu': 0.776, 'pos': 0.106, 'compound': -0.9966}","{'neg': 0.135, 'neu': 0.774, 'pos': 0.091, 'compound': -0.9987}",0.121,0.124,0.139,0.11800000000000001,0.135,0.13699999999999998,0.085,0.139,0.106,0.091,0.9983,-0.9997,0.9404,-0.9966,-0.9987,56,0.05785123966942149,18,15,3,9,11,2.0037735849056606,2.274336283185841,2.9940828402366866,2.8053691275167787,3.339622641509434,2.4824380165289255,0.49056603773584906,0.5176991150442478,0.7159763313609467,0.7181208053691275,0.8176100628930818,0.6157024793388429,0.93183479995115,-0.13080382231404958,2.2,0.04905660377358491,0.02654867256637168,0.05917159763313609,0.053691275167785234,0.031446540880503145,0,0.9641384186930837
The Avengers,The Avengers,"Avengers,-The",1,560,623,359,425,205,2,3,3,4,3,141,134,97,96,68,0.9704,0.9790000000000001,0.9189,-0.9782,0.9739,915,28,0.030601092896174863,11,7,3,4,3,286,319,122,133,55,"{'neg': 0.106, 'neu': 0.773, 'pos': 0.12, 'compound': 0.9976}","{'neg': 0.121, 'neu': 0.744, 'pos': 0.135, 'compound': 0.9969}","{'neg': 0.094, 'neu': 0.791, 'pos': 0.114, 'compound': 0.9716}","{'neg': 0.124, 'neu': 0.77, 'pos': 0.106, 'compound': -0.9782}","{'neg': 0.077, 'neu': 0.804, 'pos': 0.118, 'compound': 0.9929}",0.106,0.121,0.094,0.124,0.077,0.12,0.135,0.114,0.106,0.11800000000000001,0.9976,0.9969,0.9716,-0.9782,0.9929,60,0.06557377049180327,23,17,13,6,1,1.9580419580419581,1.9529780564263324,2.942622950819672,3.1954887218045114,10.181818181818182,2.3737704918032785,0.493006993006993,0.4200626959247649,0.7950819672131147,0.7218045112781954,2.5636363636363635,0.585792349726776,0.7758030188134099,0.6835028415300547,3.0,0.038461538461538464,0.0219435736677116,0.02459016393442623,0.03007518796992481,0.05454545454545454,0,0.7872374294963368
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,1,629,373,285,378,281,2,1,1,1,4,132,114,98,103,86,0.998,-0.9658,0.9959,0.9297,0.9926,877,33,0.03762827822120866,13,6,6,5,3,331,207,134,132,73,"{'neg': 0.116, 'neu': 0.724, 'pos': 0.16, 'compound': 0.998}","{'neg': 0.091, 'neu': 0.841, 'pos': 0.068, 'compound': -0.9658}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.11599999999999999,0.091,0.0,0.0,0.0,0.16,0.068,0.0,0.0,0.0,0.998,-0.9658,0.0,0.0,0.0,5,0.005701254275940707,4,1,0,0,0,1.9003021148036254,1.8019323671497585,2.126865671641791,2.8636363636363638,8.616438356164384,2.218928164196123,0.3987915407854985,0.5507246376811594,0.7313432835820896,0.7803030303030303,1.8082191780821917,0.6077537058152793,0.778359206022515,0.523430102622577,1.8,0.03927492447129909,0.028985507246376812,0.04477611940298507,0.03787878787878788,0.0410958904109589,0,0.6210581731206828
Men in Black 3,Men in Black 3,Men-in-Black-3,1,1206,867,234,209,185,2,3,2,3,4,196,158,77,79,67,0.9979,0.9839,0.9903,-0.9787,0.9617,1243,37,0.029766693483507644,18,12,2,2,3,732,357,60,56,38,"{'neg': 0.118, 'neu': 0.743, 'pos': 0.139, 'compound': 0.9999}","{'neg': 0.103, 'neu': 0.782, 'pos': 0.115, 'compound': 0.9979}","{'neg': 0.103, 'neu': 0.718, 'pos': 0.179, 'compound': 0.9987}","{'neg': 0.104, 'neu': 0.849, 'pos': 0.046, 'compound': -0.9939}","{'neg': 0.053, 'neu': 0.839, 'pos': 0.108, 'compound': 0.9894}",0.11800000000000001,0.10300000000000001,0.10300000000000001,0.10400000000000001,0.053,0.139,0.115,0.179,0.046,0.10800000000000001,0.9999,0.9979,0.9987,-0.9939,0.9894,231,0.18584070796460175,137,70,9,9,6,1.6475409836065573,2.4285714285714284,3.9,3.732142857142857,31.736842105263158,2.172968624296058,0.2677595628415301,0.4425770308123249,1.2833333333333334,1.4107142857142858,5.157894736842105,0.46419951729686243,0.7849528760377913,0.9033551890587287,2.8,0.02459016393442623,0.03361344537815126,0.03333333333333333,0.03571428571428571,0.07894736842105263,0,0.7961586374586411
King Kong,King Kong,King-Kong,1,637,260,231,245,231,2,1,0,2,2,126,81,77,76,82,0.9992,0.9985,0.6024,-0.9877,-0.9934,663,26,0.0392156862745098,13,2,4,2,5,285,119,107,81,71,"{'neg': 0.102, 'neu': 0.737, 'pos': 0.161, 'compound': 0.9999}","{'neg': 0.114, 'neu': 0.658, 'pos': 0.228, 'compound': 0.9996}","{'neg': 0.093, 'neu': 0.821, 'pos': 0.085, 'compound': 0.6024}","{'neg': 0.119, 'neu': 0.829, 'pos': 0.052, 'compound': -0.9984}","{'neg': 0.128, 'neu': 0.842, 'pos': 0.03, 'compound': -0.9982}",0.102,0.114,0.09300000000000001,0.11900000000000001,0.128,0.161,0.228,0.085,0.052000000000000005,0.03,0.9999,0.9996,0.6024,-0.9984,-0.9982,64,0.09653092006033184,34,7,9,11,3,2.2350877192982455,2.1848739495798317,2.1588785046728973,3.0246913580246915,8.971830985915492,2.419306184012066,0.4421052631578947,0.680672268907563,0.719626168224299,0.9382716049382716,1.7746478873239437,0.6666666666666666,0.9213089926837792,0.47890678733031683,1.4,0.0456140350877193,0.01680672268907563,0.037383177570093455,0.024691358024691357,0.07042253521126761,0,0.9253987369777419
Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,1,589,463,348,480,318,2,2,2,4,2,136,116,111,118,101,-0.9919,0.5669,-0.9958,0.9996,-0.9301,931,26,0.027926960257787327,7,8,7,3,1,293,212,162,157,107,"{'neg': 0.152, 'neu': 0.704, 'pos': 0.144, 'compound': -0.9994}","{'neg': 0.126, 'neu': 0.737, 'pos': 0.136, 'compound': 0.6947}","{'neg': 0.122, 'neu': 0.806, 'pos': 0.072, 'compound': -0.9989}","{'neg': 0.074, 'neu': 0.736, 'pos': 0.19, 'compound': 0.9999}","{'neg': 0.123, 'neu': 0.758, 'pos': 0.119, 'compound': -0.9763}",0.152,0.126,0.122,0.07400000000000001,0.12300000000000001,0.14400000000000002,0.136,0.07200000000000001,0.19,0.11900000000000001,-0.9994,0.6947,-0.9989,0.9999,-0.9763,56,0.06015037593984963,21,16,12,4,3,2.0102389078498293,2.1839622641509435,2.1481481481481484,3.0573248407643314,5.5046728971962615,2.3609022556390977,0.4641638225255973,0.5471698113207547,0.6851851851851852,0.7515923566878981,1.2710280373831775,0.6251342642320086,0.8713142592658518,-0.2946799140708915,2.4,0.023890784982935155,0.03773584905660377,0.043209876543209874,0.01910828025477707,0.009345794392523364,0,0.9060343657941458
Cars 2,Cars 2,Cars-2,1,688,389,410,376,232,2,1,2,2,2,138,121,117,104,84,0.9999,0.9991,0.9977,0.9971,0.9978,1299,34,0.02617397998460354,18,5,6,5,0,511,269,209,218,92,"{'neg': 0.072, 'neu': 0.738, 'pos': 0.19, 'compound': 1.0}","{'neg': 0.116, 'neu': 0.7, 'pos': 0.185, 'compound': 0.9998}","{'neg': 0.076, 'neu': 0.785, 'pos': 0.139, 'compound': 0.9994}","{'neg': 0.095, 'neu': 0.758, 'pos': 0.147, 'compound': 0.9992}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.07200000000000001,0.11599999999999999,0.076,0.095,0.0,0.19,0.185,0.139,0.147,0.0,1.0,0.9998,0.9994,0.9992,0.0,121,0.09314857582755966,16,53,30,22,0,1.3463796477495107,1.446096654275093,1.9617224880382775,1.724770642201835,7.478260869565218,1.6127790608160124,0.2700587084148728,0.44981412639405205,0.5598086124401914,0.47706422018348627,1.5,0.4341801385681293,0.0010244998779892548,0.998761739799846,1.8,0.03522504892367906,0.01858736059479554,0.028708133971291867,0.022935779816513763,0.0,0,0.3998401000400035
2012,2012,2012,1,366,486,217,297,206,1,3,1,3,4,109,124,89,90,71,0.9981,0.9795,0.5819,-0.8251,0.976,563,20,0.03552397868561278,9,6,2,2,1,199,162,78,76,48,"{'neg': 0.059, 'neu': 0.797, 'pos': 0.143, 'compound': 0.9981}","{'neg': 0.065, 'neu': 0.845, 'pos': 0.09, 'compound': 0.9941}","{'neg': 0.081, 'neu': 0.824, 'pos': 0.096, 'compound': 0.5819}","{'neg': 0.097, 'neu': 0.821, 'pos': 0.082, 'compound': -0.8251}","{'neg': 0.06, 'neu': 0.807, 'pos': 0.133, 'compound': 0.9935}",0.059000000000000004,0.065,0.081,0.09699999999999999,0.06,0.14300000000000002,0.09,0.096,0.08199999999999999,0.133,0.9981,0.9941,0.5819,-0.8251,0.9935,26,0.04618117229129663,8,6,6,1,5,1.8391959798994975,3.0,2.782051282051282,3.9078947368421053,7.625,2.7921847246891653,0.5477386934673367,0.7654320987654321,1.141025641025641,1.1842105263157894,2.2708333333333335,0.8579040852575488,0.7011909651443035,0.6870861456483126,2.4,0.04522613065326633,0.037037037037037035,0.02564102564102564,0.02631578947368421,0.020833333333333332,0,0.7052116051228878
Terminator Salvation,Terminator Salvation,Terminator-Salvation,1,447,357,281,224,211,1,2,5,3,5,125,104,82,77,62,-0.9965,-0.9963,0.9841,0.8293,0.9888,502,32,0.06374501992031872,9,5,7,6,5,237,106,72,51,36,"{'neg': 0.128, 'neu': 0.78, 'pos': 0.092, 'compound': -0.9965}","{'neg': 0.153, 'neu': 0.754, 'pos': 0.093, 'compound': -0.9963}","{'neg': 0.104, 'neu': 0.744, 'pos': 0.152, 'compound': 0.9841}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.128,0.153,0.10400000000000001,0.0,0.0,0.092,0.09300000000000001,0.152,0.0,0.0,-0.9965,-0.9963,0.9841,0.0,0.0,17,0.03386454183266932,2,6,9,0,0,1.8860759493670887,3.3679245283018866,3.9027777777777777,4.392156862745098,12.416666666666666,3.0278884462151394,0.5274261603375527,0.9811320754716981,1.1388888888888888,1.5098039215686274,3.4722222222222223,0.896414342629482,0.94747211125183,-0.3845258964143426,3.2,0.0379746835443038,0.04716981132075472,0.09722222222222222,0.11764705882352941,0.1388888888888889,0,0.7416985387608634
