Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($),Domestic ROI (%),Worldwide ROI (%),Success
Avatar,"Dec 18, 2009",425000000,760507625.0,2776345279.0,78.9429705882353,553.2577127058823,1
"Dark-Knight-Rises,-The","Jul 20, 2012",275000000,448139099.0,1084439099.0,62.95967236363637,294.34149054545446,1
"Avengers,-The","May 4, 2012",225000000,623279547.0,1517935897.0,177.013132,574.6381764444443,1
Pirates-of-the-Caribbean-Dead-Man's-Chest,"Jul 7, 2006",225000000,423315812.0,1066215812.0,88.14036088888889,373.87369422222224,1
Men-in-Black-3,"May 25, 2012",215000000,179020854.0,654213485.0,-16.734486511627907,204.28534186046508,1
King-Kong,"Dec 14, 2005",207000000,218080025.0,550517357.0,5.352669082125604,165.95041400966184,1
Guardians-of-the-Galaxy-Vol-2,"May 5, 2017",200000000,389813101.0,862316233.0,94.9065505,331.1581165,1
Cars-2,"Jun 24, 2011",200000000,191450875.0,560155383.0,-4.2745625,180.07769150000001,1
2012,"Nov 13, 2009",200000000,166112167.0,788408539.0,-16.9439165,294.2042695,1
Terminator-Salvation,"May 21, 2009",200000000,125322469.0,365491792.0,-37.3387655,82.745896,0
"Mummy,-The","Jun 9, 2017",195000000,80101125.0,409953905.0,-58.9225,110.2327717948718,1
"Great-Gatsby,-The","May 10, 2013",190000000,144840419.0,351040419.0,-23.768200526315788,84.75811526315789,0
Thor-Ragnarok,"Nov 3, 2017",180000000,315058289.0,846980024.0,75.03238277777778,370.5444577777778,1
Up,"May 29, 2009",175000000,293004164.0,731463377.0,67.43095085714286,317.97907257142856,1
Coco,"Nov 22, 2017",175000000,209726015.0,798020225.0,19.843437142857145,356.0115571428572,1
G.I.-Joe-The-Rise-of-Cobra,"Aug 7, 2009",175000000,150201498.0,302469017.0,-14.170572571428574,72.83943828571428,0
Wild-Wild-West,"Jun 30, 1999",175000000,113805681.0,221229335.0,-34.968182285714285,26.416762857142853,0
Snow-White-and-the-Huntsman,"Jun 1, 2012",170000000,155136755.0,401021746.0,-8.743085294117646,135.89514470588236,1
How-to-Train-Your-Dragon,"Mar 26, 2010",165000000,217581232.0,494870992.0,31.86741333333333,199.92181333333332,1
