,Processed Title,Release Date,Year,imdb_id,has_synopsis,has_plot,new_title
Monsters vs. Aliens,Monsters-vs.-Aliens,"Mar 27, 2009",2009,1482967,YES,YES,Monsters-vs.-Aliens
Cars 3,Cars-3,"Jun 16, 2017",2017,7084926,NO,YES,Cars-3
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,"Aug 7, 2009",2009,1489463,NO,NO,G.I.-Joe-The-Rise-of-Cobra
Wild Wild West,Wild-Wild-West,"Jun 30, 1999",1999,6720788,NO,NO,Wild-Wild-West
The Mummy: Tomb of the Dragon Emperor,"Mummy-Tomb-of-the-Dragon-Emperor,-The","Aug 1, 2008",2008,1311141,NO,NO,"Mummy-Tomb-of-the-Dragon-Emperor,-The"
Evan Almighty,Evan-Almighty,"Jun 22, 2007",2007,1121939,NO,NO,Evan-Almighty
Waterworld,Waterworld,"Jul 28, 1995",1995,2670548,NO,NO,Waterworld
King Arthur: Legend of the Sword,King-Arthur-Legend-of-the-Sword,"May 12, 2017",2017,7049012,NO,NO,King-Arthur-Legend-of-the-Sword
47 Ronin,47-Ronin,"Dec 25, 2013",2013,2745334,NO,NO,47-Ronin
Singularity,Singularity,"Dec 31, 2020",2020,NO ID FOUND,NO,NO,Singularity
Jurassic World: Fallen Kingdom,Jurassic-World-Fallen-Kingdom,"Jun 22, 2018",2018,9455824,NO,YES,Jurassic-World-Fallen-Kingdom
Guardians of the Galaxy,Guardians-of-the-Galaxy,"Aug 1, 2014",2014,4266858,NO,NO,Guardians-of-the-Galaxy
Iron Man 2,Iron-Man-2,"May 7, 2010",2010,5466810,NO,NO,Iron-Man-2
Captain America: The Winter Soldier,Captain-America-The-Winter-Soldier,"Apr 4, 2014",2014,9715376,NO,NO,Captain-America-The-Winter-Soldier
Dawn of the Planet of the Apes,Dawn-of-the-Planet-of-the-Apes,"Jul 11, 2014",2014,5244628,NO,YES,Dawn-of-the-Planet-of-the-Apes
The Polar Express,"Polar-Express,-The","Nov 10, 2004",2004,7345402,NO,NO,"Polar-Express,-The"
