,Original Title,Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($)
0,Avatar,Avatar,"Dec 18, 2009",425000000,760507625,2776345279
1,The Dark Knight Rises,"Dark-Knight-Rises,-The","Jul 20, 2012",275000000,448139099,1084439099
2,The Avengers,"Avengers,-The","May 4, 2012",225000000,623279547,1517935897
3,Pirates of the Caribbean: Dead Man's Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest,"Jul 7, 2006",225000000,423315812,1066215812
4,Men in Black 3,Men-in-Black-3,"May 25, 2012",215000000,179020854,654213485
5,King Kong,King-Kong,"Dec 14, 2005",207000000,218080025,550517357
6,Titanic,Titanic,"Dec 19, 1997",200000000,659363944,2208208395
7,Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2,"May 5, 2017",200000000,389813101,862316233
8,Cars 2,Cars-2,"Jun 24, 2011",200000000,191450875,560155383
9,2012,2012,"Nov 13, 2009",200000000,166112167,788408539
10,Terminator Salvation,Terminator-Salvation,"May 21, 2009",200000000,125322469,365491792
11,The Mummy,"Mummy,-The","Jun 9, 2017",195000000,80101125,409953905
12,The Great Gatsby,"Great-Gatsby,-The","May 10, 2013",190000000,144840419,351040419
13,Thor: Ragnarok,Thor-Ragnarok,"Nov 3, 2017",180000000,315058289,846980024
14,Up,Up,"May 29, 2009",175000000,293004164,731463377
15,Coco,Coco,"Nov 22, 2017",175000000,209726015,798020225
16,G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,"Aug 7, 2009",175000000,150201498,302469017
17,Wild Wild West,Wild-Wild-West,"Jun 30, 1999",175000000,113805681,221229335
18,Snow White and the Huntsman,Snow-White-and-the-Huntsman,"Jun 1, 2012",170000000,155136755,401021746
19,How to Train Your Dragon,How-to-Train-Your-Dragon,"Mar 26, 2010",165000000,217581232,494870992
20,Interstellar,Interstellar,"Nov 5, 2014",165000000,188017894,666379375
21,Beauty and the Beast,Beauty-and-the-Beast,"Mar 17, 2017",160000000,504014165,1259199706
22,Shrek the Third,Shrek-the-Third,"May 17, 2007",160000000,322719944,807330936
23,Inception,Inception,"Jul 16, 2010",160000000,292576195,832402082
24,Godzilla,Godzilla,"May 16, 2014",160000000,200676069,529076069
25,The Curious Case of Benjamin Button,"Curious-Case-of-Benjamin-Button,-The","Dec 25, 2008",160000000,127509326,329631958
26,War for the Planet of the Apes,War-for-the-Planet-of-the-Apes,"Jul 14, 2017",152000000,146880162,489592267
27,Frozen,Frozen,"Nov 22, 2013",150000000,400738009,1272469910
28,Zootopia,Zootopia,"Mar 4, 2016",150000000,341268248,1019704348
29,The Matrix Reloaded,"Matrix-Reloaded,-The","May 15, 2003",150000000,281553689,738576929
30,Hancock,Hancock,"Jul 1, 2008",150000000,227946274,624234272
31,Thor,Thor,"May 6, 2011",150000000,181030624,449326618
32,X-Men Origins: Wolverine,X-Men-Origins-Wolverine,"May 1, 2009",150000000,179883157,374825760
33,Angels & Demons,Angels-&-Demons,"May 15, 2009",150000000,133375846,490875846
34,How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,"Jun 13, 2014",145000000,177002924,614586270
35,Rise of the Guardians,Rise-of-the-Guardians,"Nov 21, 2012",145000000,103412758,306900902
36,Ghostbusters,Ghostbusters,"Jul 15, 2016",144000000,128350574,229008658
37,Star Trek,Star-Trek,"May 8, 2009",140000000,257730019,386839614
38,Armageddon,Armageddon,"Jul 1, 1998",140000000,201578182,554600000
39,The Last Samurai,"Last-Samurai,-The","Dec 5, 2003",140000000,111110575,456810575
40,Spider-Man,Spider-Man,"May 3, 2002",139000000,403706375,821706375
41,Watchmen,Watchmen,"Mar 6, 2009",138000000,107509799,186976250
42,The Croods,"Croods,-The","Mar 22, 2013",135000000,187168425,573068425
43,The Revenant,"Revenant,-The","Dec 25, 2015",135000000,183637894,532938302
44,Miami Vice,Miami-Vice,"Jul 28, 2006",135000000,63478838,163818556
45,War of the Worlds,War-of-the-Worlds,"Jun 29, 2005",132000000,234280354,606836535
46,The Bourne Ultimatum,"Bourne-Ultimatum,-The","Aug 3, 2007",130000000,227471070,444043396
47,Kung Fu Panda,Kung-Fu-Panda,"Jun 6, 2008",130000000,215434591,631910531
48,Megamind,Megamind,"Nov 5, 2010",130000000,148415853,321887208
49,Logan,Logan,"Mar 3, 2017",127000000,226277068,615461394
50,Clash of the Titans,Clash-of-the-Titans,"Apr 1, 2010",125000000,163214888,493214888
51,Prometheus,Prometheus,"Jun 8, 2012",125000000,126477084,402448265
52,Total Recall,Total-Recall,"Aug 3, 2012",125000000,58877969,211856088
53,Life of Pi,Life-of-Pi,"Nov 21, 2012",120000000,124987022,607258634
54,Ghost Rider,Ghost-Rider,"Feb 16, 2007",120000000,115802596,229545589
55,Oblivion,Oblivion,"Apr 19, 2013",120000000,89107235,287916633
56,Fantastic Four,Fantastic-Four,"Aug 7, 2015",120000000,56117548,167849187
57,Speed Racer,Speed-Racer,"May 9, 2008",120000000,43945766,93394462
58,The Island,"Island,-The","Jul 22, 2005",120000000,35818913,163018913
59,Gravity,Gravity,"Oct 4, 2013",110000000,274092705,693698673
60,Ocean's Twelve,Ocean's-Twelve,"Dec 10, 2004",110000000,125531634,362989076
61,Tomorrow Never Dies,Tomorrow-Never-Dies,"Dec 19, 1997",110000000,125304276,339504276
62,The Patriot,"Patriot,-The","Jun 28, 2000",110000000,113330342,215300000
63,Ali,Ali,"Dec 25, 2001",109000000,58183966,87683966
64,The Martian,"Martian,-The","Oct 2, 2015",108000000,228433663,655271443
65,"I, Robot","I,-Robot","Jul 16, 2004",105000000,144801023,348629585
66,Gone in 60 Seconds,Gone-in-60-Seconds,"Jun 9, 2000",103300000,101643008,232643008
67,Gladiator,Gladiator,"May 5, 2000",103000000,187683805,457683805
68,Public Enemies,Public-Enemies,"Jul 1, 2009",102500000,97104620,212282709
69,Django Unchained,Django-Unchained,"Dec 25, 2012",100000000,162805434,449948323
70,True Lies,True-Lies,"Jul 15, 1994",100000000,146282411,365300000
71,American Gangster,American-Gangster,"Nov 2, 2007",100000000,130164645,267985456
72,The Wolf of Wall Street,"Wolf-of-Wall-Street,-The","Dec 25, 2013",100000000,116900694,389870414
73,The Tourist,"Tourist,-The","Dec 10, 2010",100000000,67631157,278731369
74,Starship Troopers,Starship-Troopers,"Nov 7, 1997",100000000,54768952,121100000
75,Point Break,Point-Break,"Dec 25, 2015",100000000,28782481,126704591
76,Gangs of New York,Gangs-of-New-York,"Dec 20, 2002",97000000,77730500,183124621
77,The Fifth Element,"Fifth-Element,-The","May 9, 1997",95000000,63570862,263898761
78,Finding Nemo,Finding-Nemo,"May 30, 2003",94000000,380529370,936429370
79,Rise of the Planet of the Apes,Rise-of-the-Planet-of-the-Apes,"Aug 5, 2011",93000000,176760185,470986200
80,The Secret Life of Walter Mitty,"Secret-Life-of-Walter-Mitty,-The","Dec 25, 2013",91000000,58236838,187861183
81,Men in Black,Men-in-Black,"Jul 1, 1997",90000000,250690539,587790539
82,Rush Hour 2,Rush-Hour-2,"Aug 3, 2001",90000000,226164286,347425832
83,Sherlock Holmes,Sherlock-Holmes,"Dec 25, 2009",90000000,209028679,498438212
84,What Lies Beneath,What-Lies-Beneath,"Jul 21, 2000",90000000,155464351,288693989
85,The Departed,"Departed,-The","Oct 6, 2006",90000000,132384315,289660619
86,Charlie's Angels,Charlie's-Angels,"Nov 3, 2000",90000000,125305545,259736090
87,Mulan,Mulan,"Jun 19, 1998",90000000,120620254,303500000
88,Tropic Thunder,Tropic-Thunder,"Aug 13, 2008",90000000,110515313,191145256
89,The Girl with the Dragon Tattoo,"Girl-with-the-Dragon-Tattoo,-The","Dec 20, 2011",90000000,102515793,239373970
90,Valkyrie,Valkyrie,"Dec 25, 2008",90000000,83107829,203932174
91,Hollow Man,Hollow-Man,"Aug 4, 2000",90000000,73209340,191200000
92,The Saint,"Saint,-The","Apr 4, 1997",90000000,61363304,169400000
93,Mission to Mars,Mission-to-Mars,"Mar 10, 2000",90000000,60874615,106000000
94,Conan the Barbarian,Conan-the-Barbarian,"Aug 19, 2011",90000000,21295021,63356133
95,The Three Musketeers,"Three-Musketeers,-The","Oct 21, 2011",90000000,20377913,139877913
96,Hannibal,Hannibal,"Feb 9, 2001",87000000,165092266,350100280
97,Cast Away,Cast-Away,"Dec 22, 2000",85000000,233632142,427230516
98,Happy Feet,Happy-Feet,"Nov 17, 2006",85000000,198000317,385000317
99,Ocean's Eleven,Ocean's-Eleven,"Dec 7, 2001",85000000,183417150,450728529
100,It's Complicated,It's-Complicated,"Dec 25, 2009",85000000,112735375,224614744
101,Meet Joe Black,Meet-Joe-Black,"Nov 13, 1998",85000000,44650003,44650003
102,Collateral Damage,Collateral-Damage,"Feb 8, 2002",85000000,40048332,78353508
103,Judge Dredd,Judge-Dredd,"Jun 30, 1995",85000000,34687912,113487912
104,Bruce Almighty,Bruce-Almighty,"May 23, 2003",81000000,242704995,484468608
105,Mission: Impossible,Mission-Impossible,"May 21, 1996",80000000,180981886,457697994
106,Something's Gotta Give,Something's-Gotta-Give,"Dec 12, 2003",80000000,124685242,266685242
107,Eagle Eye,Eagle-Eye,"Sep 26, 2008",80000000,101440743,180585259
108,Cold Mountain,Cold-Mountain,"Dec 25, 2003",80000000,95632614,165173909
109,The Book of Eli,"Book-of-Eli,-The","Jan 15, 2010",80000000,94835059,158750817
110,The Haunting,"Haunting,-The","Jul 23, 1999",80000000,91188905,180188905
111,The Day the Earth Stood Still,"Day-the-Earth-Stood-Still,-The","Dec 12, 2008",80000000,79366978,237370350
112,Swordfish,Swordfish,"Jun 8, 2001",80000000,69772969,147080413
113,The Manchurian Candidate,"Manchurian-Candidate,-The","Jul 30, 2004",80000000,65948711,96148711
114,The Time Machine,"Time-Machine,-The","Mar 8, 2002",80000000,56684819,98983590
115,Mighty Joe Young,Mighty-Joe-Young,"Dec 25, 1998",80000000,50632037,50632037
116,Little Nicky,Little-Nicky,"Nov 10, 2000",80000000,39442871,58270391
117,Surrogates,Surrogates,"Sep 25, 2009",80000000,38577772,119668350
118,Thirteen Days,Thirteen-Days,"Dec 22, 2000",80000000,34566746,66554547
119,Nine,Nine,"Dec 18, 2009",80000000,19676965,53508858
120,The Postman,"Postman,-The","Dec 25, 1997",80000000,17650704,20841123
121,Red Planet,Red-Planet,"Nov 10, 2000",80000000,17480890,33463969
122,The Lion King,"Lion-King,-The","Jun 15, 1994",79300000,421785283,986214868
123,Despicable Me 2,Despicable-Me-2,"Jul 3, 2013",76000000,368065385,975216835
124,Wanted,Wanted,"Jun 27, 2008",75000000,134508551,342416460
125,The Rock,"Rock,-The","Jun 7, 1996",75000000,134069511,336069511
126,Constantine,Constantine,"Feb 18, 2005",75000000,75976178,221594911
127,Life,Life,"Apr 16, 1999",75000000,64062587,73521587
128,Spanglish,Spanglish,"Dec 17, 2004",75000000,42044321,54344321
129,Hostage,Hostage,"Mar 11, 2005",75000000,34636443,77636443
130,Soldier,Soldier,"Oct 23, 1998",75000000,14623082,14623082
131,Monkeybone,Monkeybone,"Feb 23, 2001",75000000,5409517,5409517
132,Unbreakable,Unbreakable,"Nov 22, 2000",73243106,94999143,248099143
133,Sphere,Sphere,"Feb 13, 1998",73000000,37068294,50168294
